# all merged pesticides

|trade_ name                        |active_ ingredients                                                                     |type        |WHO_Class_Family                             |uses|
|-----------------------------------|----------------------------------------------------------------------------------------|------------|---------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|Karate 5 EC                        |50gm/l of  lambda - cyhalothrin                                                         |Insecticides|Pyrethroids II                               |For controlling of insects such as bollworms and aphids in vegetables and cotton|
|Actellic 50EC®                     |500g of pirimiphos - methyl per litre, emulsfiable concentrater                         |Insecticides|Organophosphates   III                       |For the control of pests on vegetables, storage structures and other public health uses|
|Simba powder 113DP                 |10g/kg of fenitrothion  and 1.3g/kg of deltamethrin                                     |Insecticides|Organophosphates and  Pyrethroids            |A broad spectrum insecticide used to control pests in various grain and cereal crops and insects in storage structure|
|Dera blue cross dust               |2% malathion dust                                                                       |Insecticides|Organophosphates                             |For the control of Bean Bruchids and Maize weevils on stored grains (maize) and beans.|
|Nogozone 60 EC                     |600g/l diazinon                                                                         |Insecticides|Organophosphates                             |Insecticides for controlling of leaf sucking insects on vegetables, fruits and other crops. It can also be used for household control of cockroaches, bed bugs and other crawling insects.|
|Amekan C344 SE                     |144g/l of cypermethrin and 200g/l of imidacloprid                                       |Insecticides|Pyrethroids and  Neonicotinoids              |Systemic insecticides with contact and stomach action against sucking pests on cotton, vegetables and flowers.|
|Boss                               |1000gm/l of dichlorvos                                                                  |Insecticides|Organophosphate                              |Short residual insecticides for agricultural, public health and horticultural pests. Can also be used against mosquitoes.|
|Farmrifos/Dursban 48EC             |480g/l of chlorpyrifos                                                                  |Insecticides|Organophosphates  II                         |Organophosphate insecticides for agricultural, public health and horticultural pests. Can also be used against young mosquitoes|
|Duduba 450EC                       |100g/l of cypermethrin and 350g/l of  chlorpyrifos                                      |Insecticides|Pyrethroids and Organophosphates  II         |Broad spectrum insecticides for the control of various pests in various crops, buildings, prefabricated timber houses and termite moulds|
|AmeCron  720 EC                    |720g/l profenofos                                                                       |Insecticides|Organophosphates                             |Non-systemic insecticides and acaricide with contact and stomach action for control of insects particularly lepidoptera and mites on cotton, maize, sugar beet, soya beans, potatoes, vegetables, tobacco and other crops|
|Rapid- attack 344SE                |144g/l of cypermethrin and 200g/l of imidacloprid                                       |Insecticides|Pyrethroids and  Neonicotinoids              |Insecticides for control of pests in vegetables and other crops|
|Blast 60 EC                        |3% g/l   lambda - cyhalothrin and 3% g/l of aceptamiprid                                |Insecticides|Pyrethroids and  Neonicotinoids              |Contact and stomach systemic insecticides for the control of insects on crop|
|Shumba  super dust                 |1% of fenitrothion and 0.13% of deltamethrin                                            |Insecticides|Organophosphates  and Pyrethroids  II        |For cereals and grains protection against pests. Also it is used on the walls and floors in the cereals and grains storage structures against pests|
|Seed plus 20 wettable soluble (WS) |10% imidacloprid, 5% metalaxyl and 5% carbendazim WS                                    |Insecticides|Neonicotinoids, Acylalanine and Benzimidazole|Insecticides and fungicides on cotton, maize, rice, sorghum vegetable, soyabeans, cowpeas and groundnuts seeds|
|Abanil 18EC                        |18g/l of abamectin                                                                      |Insecticides|Macrocyclic lactones                         |Insecticides for controlling spidermites on vegetables, fruits and flowers.|
|Fiprofarm 50SC                     |50g/l  of fipronil                                                                      |Insecticides|Phenylpyrazole                               |Broad-spectrum insecticides for controlling of insects pests in vegetables.|
|Twigathoate 40EC                   |400mg/l of dimethoate                                                                   |Insecticides|Organophosphates                             |Broad-spectrum insecticides for controlling of insects in tomatoes, vegetables, tobacco, potatoes, sugarcane, cereals, tea and coffee.|
|Haigram 90 dusting powder (DP)     |6g/kg of pirimiphos – methyl and 3g/kg of permethrin                                    |Insecticides|Organophosphates and  Pyrethroids            |A broad spectrum insecticide for controlling pests in various grains and cereal crops.  Also it is used on the walls and floors in the cereals and grains storage structures against pests.|
|Neocidol 600EW                     |600EW of diazinon                                                                       |Insecticides|Organophosphates                             |A residual contact organophosphate insecticide for the control of cockroaches, flies, mosquitoes, bedbugs, fleas and other domestic insects. It inhibits cholinesterase.|
|Buffalo 450OD                      |7.5 % of imidacloprid and 2,5% of betacyfluthrin                                        |Insecticides|Neonicotinoids and  Pyrethroids              |A non-systemic insecticide for controlling of pests in tomatoes, potatoes, beans, cotton and onions.|
|Actellic Gold Dust                 |16g/kg of pirimiphos-methyl  and      3.6g/kg of thiamethoxam                           |Insecticides|Organophosphates  III and  Neonicotinoids    |A broad-spectrum insecticide for preserving grains, cereals, and beans against pests such as larger grain borer, grain weevil, red flour beetle and lesser grain beetle.|
|Lambdascope 5EC                    |50g/l of  lambda - cyhalothrin                                                          |Insecticides|Pyrethroids                                  |A broad-spectrum contact and stomach acting pyrethroid insecticide against wide range of pests on vegetables and flowers.|
|Septer 200SC                       |200g/l imidacloprid                                                                     |Insecticides|Neonicotinoids                               |For the control of aphids, mirids, and brown flea beetles on cotton and cabbages.|
|Twigaphos 48EC                     |480g/l of chlorpyrifos                                                                  |Insecticides|Organophosphates  II                         |For the control of insects in cotton, coffee, cashew and vegetables.|
|Agro - cron                        |720g/l of profenos                                                                      |Insecticides|Organophosphates                             |A foliar insecticide and acaricide with contact and stomach action for the control of mining and sucking insect pests in coffee and various vegetable.|
|Farmguard 344SE                    |144 g/l of cypermethrin and 200g/l of imidacloprid                                      |Insecticides|Pyrethroids  and Neonicotinoids              |A systemic insecticide for control of aphids, bollworm and other sucking pests on fruits, vegetables and other crops.|
|Furadan 5G                         |5% w/w carbonfuran                                                                      |Insecticides|N-methyl carbamate Ib                        |For the control of many important soil and foliar pests in bananas, vegetables, coffee, potatoes, maize, pineapples and beans.|
|Tunza 700WS                        |700g/kg of imidacloprid                                                                 |Insecticides|Neonicotinoids                               |Insecticides for treating and protecting cereals and vegetable seeds against insect pests such as aphids, ground weevils and flea beetle.|
|Konto 5% EC                        |50g/l of  lambda - cyhalothrin formulated as EC                                         |Insecticides|Pyrethroids                                  |For the control of a wide range of insect pests in the field and horticultural crops such as vegetables and beans.|
|Promectin 18EC                     |18% g/l of abamectin                                                                    |Insecticides|Macrocyclic lactone                          |Broad spectrum acaricide and insecticide for the control of spidermites, larvae and leafminers in roses, French beans, tomatoes and snow peas.|
|Thunder Oil Dispersion (OD)  145   |100g/l of imidacloprid and 45 g/l of beta-cyfluthrin                                    |Insecticides|Neonicotinoids  and Pyrethroids              |Insecticides against various sucking and chewing insect pests in vegetables, ornaments, cereals, coffee and cotton.|
|Mupacron 500EC                     |500 EC of profenos                                                                      |Insecticides|Organophosphates                             |Broad spectrum insecticide against insect pests in coffee, vegetable, cotton, tea and cashew nuts.|
|Actellic super dust                |16g/kg of pirimiphos-methyl and 3g/kg of permethrin                                     |Insecticides|Organophosphates and Pyrethroids             |For the control of pests on vegetables, storage of cereals, used in storage structures and other public health uses.|
|Ninja 5EC                          |5% of  lambda - cyhalothrin                                                             |Insecticides|Pyrethroids                                  |Fast acting broad spectrum insecticides for use in the cashew nuts, vegetables and fruits against sucking insect pests.|
|Ninja plus 5EC                     |5% of lambda -cyhalothrin                                                               |Insecticides|Pyrethroids                                  |Fast acting broad spectrum insecticides against sucking insects on the cashew nuts, vegetables and fruits.|
|Dichlorovos (DDVP) 100% EC         |100% of dichlorovos                                                                     |Insecticides|Organophosphates                             |For control of household and public health insect pests such as houseflies, mosquitoes, cockroaches, bedbugs and ants. It is also used against pests in the stored products such as warehouses and storerooms.|
|Mupamectin 1.8 EC                  |18g/l of abamactin                                                                      |Insecticides|Macrocyclic lactone                          |A broad spectrum insecticide for control of motile mites, leaf miners in roses flowers, carnation and French beans.|
|Seed plus 20WS                     |10% of imidacloprid, 5% of metalaxyl and 5% of carbendazim                              |Insecticides|Neonicotinoids, Acylalanine and Benzimidazole|Insecticide and fungicide mixture for treatment of maize, rice, sorghum, cotton, groundnuts, cowpeas, soybeans and vegetable seeds.|
|KungFu 5EC                         |50gm/l of  lambda- cyhalothrin                                                          |Insecticides|Pyrethroids                                  |For controlling of insects on vegetables, tomatoes and cotton.|
|Mupa dust                          |1.0% of fenitrothion and 0.13%  of deltamethrin                                         |Insecticides|Organophosphates and Pyrethroids             |For protecting cereals and grains against insect pests. Also can be applied on the walls and roof of cereals and grains storage structures against insect pests|
|Icon 10CS                          |100g/l of  lambda - cyhalothrin                                                         |Insecticides|Pyrethroids                                  |Long-lasting residual pyrethroid insecticide used for surface treatment for the control of public health insects including mosquitoes, flies, cockroaches and others|
|Dasba 40EC                         |400g/l of  chloropyrifos                                                                |Insecticides|Organophosphates                             |It is organophosphate insecticide for controlling of different pests in fruits, beans, tomatoes, cotton, coffee and green vegetables|
|Albadip super 100 EC               |10% of alpha- cypermethrin                                                              |Insecticides|Pyrethroids                                  |Insecticides for veterinary use for ticks, fleas control in domestic animals by dipping and spraying|
|Dynamec 1.8EC                      |18g/l of abamectin                                                                      |Insecticides|Macrocyclic lactones                         |Acaricide and insecticide for the control of mites and leafminers in ornamentals, peas and green beans|
|Dragnet EC                         |380g/l of permethrin                                                                    |Insecticides|Pyrethroids                                  |Insecticide for the control of termites and insects on structures and lawns.|
|Nuvan 500EC                        |Dichlorvos 500g/l                                                                       |Insecticides|Organophosphate                              |Insecticides against pests for spraying in the grains and beans storage facilities. It is also used for controlling of cockroaches, mosquitoes, and houseflies and in the houses|
|Cybadip 15% M/V                    |15% M/V of cypermethrin                                                                 |Insecticides|Pyrethroids                                  |Insecticides for veterinary use for ticks, fleas control in domestic animals by dipping and spraying.|
|Alphascope 10EC                    |100g/l  of alphacypermethrin                                                            |Insecticides|Pyrethroids                                  |Insecticides for controlling insects and pests in vegetables and fruits.|
|Bamethrin 2.5EC                    |25g/l of deltamethrin                                                                   |Insecticides|Pyrethroids                                  |Insecticides against pests in cabbages and other vegetables.|
|Agrorates 5EC                      |50g/l of  lambda - cyhalothrin                                                          |Insecticides|Pyrethroids                                  |Is a non-systemic, broad-spectrum insecticide with contact and stomach action for the control of sucking and biting insects pests in onions, tomatoes, potatoes, cabbage, carrots, cashwenuts, coffee, cotton and beans.|
|Twiga primethyl 50EC               |500g/l of pirimiphos methyl                                                             |Insecticides|Organophosphates                             |Insecticides for controlling of pests in vegetable, storage structure and public health.|
|Stocal super dust                  |16g/kg of pirimiphos-methyl and 3g/kg of permethrin                                     |Insecticides|Organophosphates and Pyrethroids             |Insecticides for the storage of grains and cereals and control of storage pests such as larger grain borer and weevils.|
|Ultravin® Dudu dust                |5% w/w of carbaryl, 1% w/w of permethrin and 94% w/w of inert carriers.                 |Insecticides|Carbamates and Pyrethroids                   |Insecticides that kill instantly the domestic insects such as cockroaches, bedbugs, lice.|
|Bakiller                           |5% w/w of carbaryl and 0.1% w/w of lambda cyhalothrin                                   |Insecticides|Carbamates and Pyrethroids                   |Insecticides for domestic use against cockroaches, fleas, ants, and other crawling insects.|
|Amerate 5EC                        |50g/l of lambda cyhalothrin                                                             |Insecticides|Pyrethroids                                  |Insecticides for controlling of insect pests in cotton and other crops|
|Vitasheld 48EC                     |48% of chlorpyriphos                                                                    |Insecticides|Organophosphates                             |A non-systemic organophosphate contact stomach and respiratory poison against pests such as banana weevil, aphids, scale insects, thrips, red/rust mites, leaf hoppers, and bollworms in tomatoes.|
|Darsfarm 240EC                     |240g/l of chlorpyriphosg/l                                                              |Insecticides|Organophosphates                             |Insecticides for controlling of aphids and other pests on fruits, vegetables, flowers and other crops.|
|Suracron                           |720g/l profenos emulsfiable concentrater                                                |Insecticides|Organophosphates                             |For the control  of insects particularly lepidoptera  and mites on cotton, maize, sugar beet, soya beans, potatoes, vegetables, tobacco and other crops.|
|Supathrin 5 EC                     |50g/l of lambda cyhalothrin                                                             |Insecticides|Pyrethroids                                  |Non-systemic broad-spectrum insecticides with contact and stomach action for the control of sucking and biting insects’ pests in onion, vegetables and other field crops.|
|Paranex 100EC                      |100EC of alphacypermethrin                                                              |Insecticides|Pyrethroids                                  |Veterinary insecticides for the control of ticks, tsetse flies,  mites, fleas, lice and other ectoparasites of cattle, goats, sheep and poultry.|
|Akheri Powder                      |5% w/w carbryl and 0.1% w/w lambda - cyhalothrin.                                       |Insecticides|Carbamates and Pyrethroids                   |For the control of crawling insects such as mites, tics, ants, cockroaches and mice, mostly in the houses.|
|Su Karatii 5EC                     |50gm/l of  lambda -cyhalothrin                                                          |Insecticides|Pyrethroids                                  |A systemic pyrethroid insecticide for the control of red, spiny, and bollworms insects in cotton and other crops.|
|Profecron 720 EC                   |720g/l of profenofos                                                                    |Insecticides|Organophosphates                             |A broad spectrum insecticide with contact and stomach action for control of sucking and chewing insect pests in coffee and vegetables.|
|Gusate                             |48% of glyphosate                                                                       |Herbicide   |Amino-phosphonates                           |A broad spectrum systemic post-emergence herbicide for the control perennial grass and broad-leaved weeds.|
|Roundup                            |360g/l of glyphosate                                                                    |Herbicide   |Amino-phosphonates                           |A non-selective, systemic, post-emergence herbicide with little or no soil activity for control of perennial and annual weeds in agricultural. Roundup can be used as a growth regulator to increase sucrose content of sugar cane or reduce growth of weeds.|
|Ascomine 2-4D                      |720g/l of 2-4D amine salt                                                               |Herbicide   |Aryloxyacides                                |Selective herbicides against broad-leaved weeds in rice, oats, maize, sugarcane and wheat.|
|Baphosate 480 SL                   |480g/l of glyphosate isopropyl ammonium salt                                            |Herbicide   |Amino-phosphonates                           |A non-selective and systemic herbicide with broad spectrum to control annual and perennials grass and broad-leaved weeds in planation crops.|
|Moround                            |360g/l of glyphosate                                                                    |Herbicide   |Amino-phosphonates                           |A soluble concentration, non-selective systemic post emergence herbicide with little or no soil activity for the control of perennial and annual weeds in agricultural and industrial areas. It can be used as a growth regulator to increase sugar content of sugar cane and reduce growth of weeds.|
|Primagram                          |290g/l of S-metolachlor and Atrazine                                                    |Herbicide   |Triazines                                    |Herbicide for the control of weeds in maize.|
|Balton 2.4D Amine                  |720g/l 2, 4-dichlorophenoxy acetic acid                                                 |Herbicide   |Aryloxyacides II                             |Selective herbicide for controlling of broadleaf weeds in cereals and areas away from cultivated crops|
|Paraquet oluble concentrate (SC) 20|20g/l paraquet                                                                          |Herbicide   |Pyridines                                    |Selective herbicides against broad-leaved weeds in rice, maize, sugarcane and wheat.|
|2,4 D Amine                        |720g/l of 2, 4 D- dimethyl amine salt.                                                  |Herbicide   |Aryloxyacides  II                            |Selective herbicides against broad-leaved weeds in rice, maize, sugarcane and wheat.|
|Vichaka 16% EC                     |16%  of triclopyr                                                                       |Herbicide   |Pyridine                                     |Residual systematic herbicides for the control of annual and perennial broad-leaved weeds, bushes and trees on non-crop areas.|
|Rondopaz 48% SL                    |480 g/l glyphosate in the form of isopropylamine salt                                   |Herbicide   |Amino-phosphonates                           |Post-emergence, systemic and non-selective herbicides for control of annual and perennial grasses and weeds.|
|Glyphon 360 SE                     |480g/l of isopropylamine salt of glyphosate. Equivalent to 360g/l of the acid glyphosate|Herbicide   |Amino-phosphonates                           |Broad spectrum herbicides against weeds.|
|Willosate 360SL                    |360g/l of glyphosate                                                                    |Herbicide   |Amino-phosphonates                           |Systemic herbicides for control of weeds in various crops and non-crop areas.|
|Glycel 41% SL                      |41% of  glyphosate                                                                      |Herbicide   |Amino-phosphonates                           |Is a non-selective systemic and post-emergence herbicide against broad-leaf weeds and fast growing weeds.|
|Farm round 480SL                   |480g/l of  glyphosate                                                                   |Herbicide   |Amino-phosphonates                           |Non-selective post-emergence systemic herbicides for controlling of annual and perennial weeds and shrubs in coffee, tea, banana, citrus, sugar cane and cereals|
|Megasate 480SL                     |480g/l of  glyphosate                                                                   |Herbicide   |Amino-phosphonates                           |For the control of annual and perennial grasses and broadleaf weeds in plantations field crops.|
|Weedall 480SL                      |480g/l  glyphosate in the form of isopropylamine salt                                   |Herbicide   |Amino-phosphonates                           |Systemic non-selective herbicide for the control of annual and perennial broadleaved weeds, grasses and sedges.|
